,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
377,149703,Sumbawanga,TZ,31.62,-7.95,2018-04-03 17:00:00,64.4,77,75,4.72
381,2987003,Pithiviers,FR,2.25,48.17,2018-04-03 17:00:00,51.8,76,0,9.17
386,1493162,Salym,RU,71.48,60.06,2018-04-03 17:00:00,18.47,62,48,8.19
405,3451856,Rancharia,BR,-50.89,-22.23,2018-04-03 17:00:00,82.4,61,40,5.82
415,915471,Kalabo,ZM,22.67,-15,2018-04-03 17:00:00,82.64,42,88,9.08
419,3395981,Maceio,BR,-35.74,-9.67,2018-04-03 17:00:00,84.2,66,40,14.99
444,1633419,Padang,ID,100.36,-0.92,2018-04-03 17:00:00,81.92,100,32,1.48
452,3664321,Eirunepe,BR,-69.87,-6.66,2018-04-03 17:00:00,87.32,71,24,2.48
454,750468,Boyabat,TR,34.77,41.47,2018-04-03 17:00:00,38.45,76,0,2.48
475,2377450,Nouakchott,MR,-15.98,18.08,2018-04-03 17:00:00,67.07,94,76,16.46
480,2409914,Bonthe,SL,-12.5,7.53,2018-04-03 17:00:00,83.27,74,76,6.06
481,58933,Garowe,SO,48.48,8.41,2018-04-03 17:00:00,81.2,53,0,14
490,3424901,Aasiaat,GL,-52.87,68.71,2018-04-03 17:00:00,21.17,100,20,2.59
495,2282006,San-Pedro,CI,-6.64,4.75,2018-04-03 17:00:00,83.63,75,0,11.99
502,1263101,Mettur,IN,77.8,11.8,2018-04-03 17:00:00,69.77,96,12,3.27
519,3430545,San Miguel,AR,-58.72,-34.54,2018-04-03 17:00:00,74.03,60,20,8.05
520,3697838,Contamana,PE,-75.01,-7.35,2018-04-03 17:00:00,85.43,72,48,1.81
521,3451051,Rio Verde de Mato Grosso,BR,-54.84,-18.92,2018-04-03 17:00:00,80.21,89,0,4.38
523,343300,Asmara,ER,38.93,15.34,2018-04-03 17:00:00,59,54,0,4.7
546,3035612,Avrille,FR,-0.58,47.5,2018-04-03 17:00:00,55.4,71,40,8.05
564,88533,Awjilah,LY,21.3,29.14,2018-04-03 17:00:00,68.78,37,32,9.64
565,1272864,Dharchula,IN,80.53,29.85,2018-04-03 17:00:00,37.55,91,32,1.81
583,3832899,Viedma,AR,-62.99,-40.81,2018-04-03 17:00:00,81.29,45,0,10.65
589,1184249,Attock,PK,72.36,33.77,2018-04-03 17:00:00,77,47,0,6.93
609,3385670,Urucara,BR,-57.76,-2.54,2018-04-03 17:00:00,83.81,80,36,2.71
610,3390160,Russas,BR,-37.97,-4.93,2018-04-03 17:00:00,82.1,96,44,8.75
616,2364079,Sotouboua,TG,0.98,8.56,2018-04-03 17:00:00,86.69,56,20,3.6
618,5221703,Cumberland,US,-71.43,41.97,2018-04-03 17:00:00,43.38,69,90,6.73
622,515246,Onega,RU,38.09,63.91,2018-04-03 17:00:00,32.24,91,92,13.89
